file,line,value,context,component
"/home/yatta/apps/frontend/app/error.jsx","15","text-red-400","tw-text","error"
"/home/yatta/apps/frontend/app/error.jsx","18","text-gray-300","tw-text","error"
"/home/yatta/apps/frontend/app/error.jsx","21","text-gray-400","tw-text","error"
"/home/yatta/apps/frontend/app/error.jsx","26","text-red-300","tw-text","error"
"/home/yatta/apps/frontend/app/error.jsx","25","bg-red-900","tw-bg","error"
"/home/yatta/apps/frontend/app/error.jsx","34","bg-fuchsia-600","tw-bg","error"
"/home/yatta/apps/frontend/app/error.jsx","34","bg-fuchsia-700","tw-bg","error"
"/home/yatta/apps/frontend/app/error.jsx","40","bg-gray-700","tw-bg","error"
"/home/yatta/apps/frontend/app/error.jsx","40","bg-gray-600","tw-bg","error"
"/home/yatta/apps/frontend/app/error.jsx","25","border-red-500","tw-border","error"
"/home/yatta/apps/frontend/app/global-error.jsx","10","text-red-400","tw-text","global-error"
"/home/yatta/apps/frontend/app/global-error.jsx","13","text-gray-300","tw-text","global-error"
"/home/yatta/apps/frontend/app/global-error.jsx","16","text-gray-400","tw-text","global-error"
"/home/yatta/apps/frontend/app/global-error.jsx","22","bg-fuchsia-600","tw-bg","global-error"
"/home/yatta/apps/frontend/app/global-error.jsx","22","bg-fuchsia-700","tw-bg","global-error"
"/home/yatta/apps/frontend/app/globals.css","16","#ff00ff","inline-hex","globals"
"/home/yatta/apps/frontend/app/globals.css","16","#ff00ff","inline-hex","globals"
"/home/yatta/apps/frontend/app/globals.css","16","#ff00ff","inline-hex","globals"
"/home/yatta/apps/frontend/app/globals.css","16","#ff00ff","inline-hex","globals"
"/home/yatta/apps/frontend/app/globals.css","26","#222","inline-hex","globals"
"/home/yatta/apps/frontend/app/globals.css","27","#e3f2fd","inline-hex","globals"
"/home/yatta/apps/frontend/app/globals.css","27","#bbdefb","inline-hex","globals"
"/home/yatta/apps/frontend/app/globals.css","27","#90caf9","inline-hex","globals"
"/home/yatta/apps/frontend/app/globals.css","40","#1565c0","inline-hex","globals"
